module,class_name,node_id,iso_class,iso_node_id
nodes_ace,TextEncodeAceStepAudio,TextEncodeAceStepAudio,TextEncodeAceStepAudio_ISO,TextEncodeAceStepAudio_ISO
nodes_ace,EmptyAceStepLatentAudio,EmptyAceStepLatentAudio,EmptyAceStepLatentAudio_ISO,EmptyAceStepLatentAudio_ISO
nodes_advanced_samplers,SamplerLCMUpscale,SamplerLCMUpscale,SamplerLCMUpscale_ISO,SamplerLCMUpscale_ISO
nodes_advanced_samplers,SamplerEulerCFGpp,SamplerEulerCFGpp,SamplerEulerCFGpp_ISO,SamplerEulerCFGpp_ISO
nodes_align_your_steps,AlignYourStepsScheduler,AlignYourStepsScheduler,AlignYourStepsScheduler_ISO,AlignYourStepsScheduler_ISO
nodes_apg,APG,APG,APG_ISO,APG_ISO
nodes_attention_multiply,UNetSelfAttentionMultiply,UNetSelfAttentionMultiply,UNetSelfAttentionMultiply_ISO,UNetSelfAttentionMultiply_ISO
nodes_attention_multiply,UNetCrossAttentionMultiply,UNetCrossAttentionMultiply,UNetCrossAttentionMultiply_ISO,UNetCrossAttentionMultiply_ISO
nodes_attention_multiply,CLIPAttentionMultiply,CLIPAttentionMultiply,CLIPAttentionMultiply_ISO,CLIPAttentionMultiply_ISO
nodes_attention_multiply,UNetTemporalAttentionMultiply,UNetTemporalAttentionMultiply,UNetTemporalAttentionMultiply_ISO,UNetTemporalAttentionMultiply_ISO
nodes_audio_encoder,AudioEncoderLoader,AudioEncoderLoader,AudioEncoderLoader_ISO,AudioEncoderLoader_ISO
nodes_audio_encoder,AudioEncoderEncode,AudioEncoderEncode,AudioEncoderEncode_ISO,AudioEncoderEncode_ISO
nodes_camera_trajectory,WanCameraEmbedding,WanCameraEmbedding,WanCameraEmbedding_ISO,WanCameraEmbedding_ISO
nodes_canny,Canny,Canny,Canny_ISO,Canny_ISO
nodes_cfg,CFGZeroStar,CFGZeroStar,CFGZeroStar_ISO,CFGZeroStar_ISO
nodes_cfg,CFGNorm,CFGNorm,CFGNorm_ISO,CFGNorm_ISO
nodes_chroma_radiance,EmptyChromaRadianceLatentImage,EmptyChromaRadianceLatentImage,EmptyChromaRadianceLatentImage_ISO,EmptyChromaRadianceLatentImage_ISO
nodes_chroma_radiance,ChromaRadianceOptions,ChromaRadianceOptions,ChromaRadianceOptions_ISO,ChromaRadianceOptions_ISO
nodes_clip_sdxl,CLIPTextEncodeSDXLRefiner,CLIPTextEncodeSDXLRefiner,CLIPTextEncodeSDXLRefiner_ISO,CLIPTextEncodeSDXLRefiner_ISO
nodes_clip_sdxl,CLIPTextEncodeSDXL,CLIPTextEncodeSDXL,CLIPTextEncodeSDXL_ISO,CLIPTextEncodeSDXL_ISO
nodes_compositing,PorterDuffImageComposite,PorterDuffImageComposite,PorterDuffImageComposite_ISO,PorterDuffImageComposite_ISO
nodes_compositing,SplitImageWithAlpha,SplitImageWithAlpha,SplitImageWithAlpha_ISO,SplitImageWithAlpha_ISO
nodes_compositing,JoinImageWithAlpha,JoinImageWithAlpha,JoinImageWithAlpha_ISO,JoinImageWithAlpha_ISO
nodes_cond,CLIPTextEncodeControlnet,CLIPTextEncodeControlnet,CLIPTextEncodeControlnet_ISO,CLIPTextEncodeControlnet_ISO
